,Date,Iron_Price,Silver_Price,Gold_Price,Copper_Price,S&P_GSCI_Price
84,2007-01,36.63,13.36,650.50,13.36,"5,498.77"
85,2007-02,36.63,14.31,664.20,14.31,"5,735.06"
86,2007-03,36.63,13.35,661.75,13.35,"5,920.55"
87,2007-04,36.63,13.5,677.00,13.5,"5,904.26"
88,2007-05,36.63,13.25,659.10,13.25,"5,812.55"
89,2007-06,36.63,12.54,650.50,12.54,"5,999.78"
90,2007-07,36.63,12.93,665.50,12.93,"6,332.53"
91,2007-08,36.63,11.95,672.00,11.95,"6,067.40"
92,2007-09,36.63,13.65,743.00,13.65,"6,687.84"
93,2007-10,36.63,14.32,789.50,14.32,"7,330.34"
94,2007-11,36.63,14.23,783.50,14.23,"7,059.31"
95,2007-12,36.63,14.76,836.50,14.76,"7,466.30"
96,2008-01,60.8,16.74,923.25,16.74,"7,464.40"
97,2008-02,60.8,19.62,971.50,19.62,"8,304.77"
98,2008-03,60.8,17.99,933.50,17.99,"8,207.26"
99,2008-04,60.8,16.47,871.00,16.47,"8,860.93"
100,2008-05,60.8,16.85,885.75,16.85,"9,667.63"
101,2008-06,60.8,17.65,930.25,17.65,"10,558.65"
102,2008-07,60.8,17.48,918.00,17.48,"9,267.72"
103,2008-08,60.8,13.76,833.00,13.76,"8,609.50"
104,2008-09,60.8,12.96,884.50,12.96,"7,538.31"
105,2008-10,60.8,9.28,730.75,9.28,"5,412.61"
106,2008-11,60.8,10.12,814.50,10.12,"4,609.34"
107,2008-12,71.7,10.79,865.00,10.79,"3,995.39"
108,2009-01,73.4,12.51,919.50,12.51,"3,638.25"
109,2009-02,72.7,13.21,952.00,13.21,"3,416.30"
110,2009-03,59.6,13.11,916.50,13.11,"3,570.22"
111,2009-04,60.6,12.63,883.25,12.63,"3,537.42"
112,2009-05,65.0,15.52,975.50,15.52,"4,233.06"
113,2009-06,78.2,13.94,934.50,13.94,"4,257.24"
114,2009-07,95.3,13.63,939.00,13.63,"4,276.10"
115,2009-08,85.8,14.54,955.50,14.54,"4,175.00"
116,2009-09,85.9,16.45,995.75,16.45,"4,182.21"
117,2009-10,88.4,16.57,"1,040.00",16.57,"4,427.82"
