,Date,Iron_Price,SUBURB,PRICE,BEDROOMS,BATHROOMS,POSTCODE,CITY
4,2007-01,36.63,Karawara,860000,4.0,2,6152,Perth
8,2007-01,36.63,Viveash,585000,4.0,2,6056,Perth
13,2007-02,36.63,Viveash,750000,4.0,2,6056,Perth
15,2007-02,36.63,Mardella,270000,4.0,2,6125,Perth
16,2007-02,36.63,North Lake,775000,4.0,2,6163,Perth
19,2007-03,36.63,Mariginiup,1700000,4.0,2,6078,Perth
20,2007-03,36.63,Gnangara,1200000,4.0,2,6077,Perth
21,2007-03,36.63,Karawara,735000,4.0,2,6152,Perth
22,2007-03,36.63,Mariginiup,1600000,4.0,2,6078,Perth
25,2007-03,36.63,Mahogany Creek,810000,4.0,2,6072,Perth
26,2007-03,36.63,Ashfield,430000,4.0,2,6054,Perth
28,2007-03,36.63,Wungong,989000,4.0,2,6112,Perth
33,2007-04,36.63,Ashfield,510000,4.0,2,6054,Perth
36,2007-04,36.63,Ashfield,440000,4.0,2,6054,Perth
40,2007-05,36.63,Millendon,895000,4.0,2,6056,Perth
41,2007-05,36.63,Anketell,1250000,4.0,2,6167,Perth
44,2007-05,36.63,Mardella,835000,4.0,2,6125,Perth
46,2007-05,36.63,Herne Hill,880000,4.0,2,6056,Perth
47,2007-05,36.63,Mundijong,550000,4.0,2,6123,Perth
48,2007-05,36.63,Ashfield,495000,4.0,2,6054,Perth
52,2007-06,36.63,Kiara,212500,4.0,2,6054,Perth
53,2007-06,36.63,Herne Hill,900000,4.0,2,6056,Perth
54,2007-06,36.63,Bickley,1400000,4.0,2,6076,Perth
55,2007-06,36.63,Herne Hill,1610000,4.0,2,6056,Perth
60,2007-06,36.63,Millendon,1277000,4.0,2,6056,Perth
61,2007-06,36.63,North Lake,795000,4.0,2,6163,Perth
64,2007-06,36.63,Gnangara,995000,4.0,2,6077,Perth
68,2007-07,36.63,Karragullen,602000,4.0,2,6111,Perth
70,2007-07,36.63,Ashfield,490000,4.0,2,6054,Perth
75,2007-07,36.63,Kiara,385000,4.0,2,6054,Perth
77,2007-07,36.63,Daglish,1495000,4.0,2,6008,Perth
79,2007-07,36.63,Karawara,652000,4.0,2,6152,Perth
84,2007-08,36.63,Boya,680000,4.0,2,6056,Perth
88,2007-08,36.63,Brigadoon,1200000,4.0,2,6069,Perth
89,2007-08,36.63,Cardup,1200000,4.0,2,6122,Perth
