,Date,Iron_Price,Silver_Price,Gold_Price,Copper_Price,S&P_GSCI_Price,ID,SUBURB,PRICE,BEDROOMS,BATHROOMS,POSTCODE,CITY
0,01/2000,12.45,5.26,283.30,5.26,"2,970.29",17644,Mahogany Creek,98000,2,1,6072,Perth
1,01/2000,12.45,5.26,283.30,5.26,"2,970.29",18608,Mardella,235000,4,1,6125,Perth
2,02/2000,12.45,5.1,293.65,5.1,"3,155.86",33146,Upper Swan,706000,3,2,6069,Perth
3,03/2000,12.45,4.94,276.75,4.94,"3,119.23",2381,Bickley,165000,3,1,6076,Perth
4,03/2000,12.45,4.94,276.75,4.94,"3,119.23",9573,Mariginiup,196000,4,2,6078,Perth
5,03/2000,12.45,4.94,276.75,4.94,"3,119.23",17506,Mariginiup,190000,5,2,6078,Perth
6,03/2000,12.45,4.94,276.75,4.94,"3,119.23",22852,Hovea,117000,4,2,6071,Perth
7,03/2000,12.45,4.94,276.75,4.94,"3,119.23",30323,Keysbrook,190000,3,1,6126,Perth
8,03/2000,12.45,4.94,276.75,4.94,"3,119.23",31420,Gnangara,347000,4,4,6077,Perth
9,04/2000,12.45,4.94,275.05,4.94,"3,090.82",29626,Sawyers Valley,217500,3,2,6074,Perth
10,04/2000,12.45,4.94,275.05,4.94,"3,090.82",31626,Boya,165000,3,1,6056,Perth
11,05/2000,12.45,4.9,272.25,4.9,"3,436.91",9237,Mahogany Creek,172500,3,2,6072,Perth
12,05/2000,12.45,4.9,272.25,4.9,"3,436.91",21810,Orange Grove,140000,6,3,6109,Perth
13,05/2000,12.45,4.9,272.25,4.9,"3,436.91",24375,Gnangara,365000,4,2,6077,Perth
14,05/2000,12.45,4.9,272.25,4.9,"3,436.91",27852,Jandabup,297500,4,2,6077,Perth
15,06/2000,12.45,5.02,288.15,5.02,"3,681.85",2921,Hovea,270000,4,2,6071,Perth
16,06/2000,12.45,5.02,288.15,5.02,"3,681.85",4034,Mariginiup,140000,4,1,6078,Perth
17,06/2000,12.45,5.02,288.15,5.02,"3,681.85",5851,Hovea,230000,4,3,6071,Perth
18,06/2000,12.45,5.02,288.15,5.02,"3,681.85",29735,Sawyers Valley,215000,4,2,6074,Perth
19,07/2000,12.45,4.95,276.75,4.95,"3,399.09",16528,Carmel,152000,3,1,6076,Perth
20,07/2000,12.45,4.95,276.75,4.95,"3,399.09",26201,Bickley,315000,4,2,6076,Perth
21,08/2000,12.45,4.91,277.00,4.91,"3,922.85",8511,Mariginiup,145000,5,2,6078,Perth
22,08/2000,12.45,4.91,277.00,4.91,"3,922.85",14330,Mardella,77000,3,1,6125,Perth
23,08/2000,12.45,4.91,277.00,4.91,"3,922.85",14694,Jandabup,186500,4,2,6077,Perth
24,08/2000,12.45,4.91,277.00,4.91,"3,922.85",16847,Boya,360000,4,2,6056,Perth
25,08/2000,12.45,4.91,277.00,4.91,"3,922.85",19066,Mahogany Creek,113000,2,1,6072,Perth
26,08/2000,12.45,4.91,277.00,4.91,"3,922.85",31769,Hovea,165000,3,1,6071,Perth
27,09/2000,12.45,4.89,273.65,4.89,"3,869.14",19035,Hovea,115000,4,2,6071,Perth
28,09/2000,12.45,4.89,273.65,4.89,"3,869.14",30184,Gnangara,170000,4,2,6077,Perth
29,10/2000,12.45,4.74,264.50,4.74,"3,877.86",5874,Hovea,180000,4,3,6071,Perth
30,10/2000,12.45,4.74,264.50,4.74,"3,877.86",6391,Mariginiup,190000,3,2,6078,Perth
31,11/2000,12.45,4.63,269.10,4.63,"4,235.22",14815,Hovea,128500,3,2,6071,Perth
32,11/2000,12.45,4.63,269.10,4.63,"4,235.22",30270,Keysbrook,240000,4,2,6126,Perth
33,11/2000,12.45,4.63,269.10,4.63,"4,235.22",31151,Anketell,254000,4,2,6167,Perth
34,12/2000,12.45,4.58,274.45,4.58,"4,147.90",5112,Orange Grove,154000,3,2,6109,Perth
35,12/2000,12.45,4.58,274.45,4.58,"4,147.90",10191,Mariginiup,144500,4,2,6078,Perth
36,01/2001,12.99,4.79,264.50,4.79,"3,927.75",25973,Haynes,350000,4,2,6112,Perth
37,02/2001,12.99,4.43,266.70,4.43,"3,872.93",1391,Pickering Brook,225000,4,2,6076,Perth
38,02/2001,12.99,4.43,266.70,4.43,"3,872.93",18026,Jandabup,167000,4,2,6077,Perth
39,02/2001,12.99,4.43,266.70,4.43,"3,872.93",24932,Hazelmere,327000,4,1,6055,Perth
40,03/2001,12.99,4.33,257.70,4.33,"3,721.13",7539,West Swan,220000,3,2,6055,Perth
41,04/2001,12.99,4.37,263.15,4.37,"3,920.97",4202,Gnangara,180000,4,1,6077,Perth
42,04/2001,12.99,4.37,263.15,4.37,"3,920.97",9398,Bickley,204750,3,2,6076,Perth
43,04/2001,12.99,4.37,263.15,4.37,"3,920.97",11044,Mahogany Creek,153500,4,2,6072,Perth
44,05/2001,12.99,4.43,267.50,4.43,"3,809.28",15662,Sawyers Valley,311500,5,3,6074,Perth
45,06/2001,12.99,4.34,270.60,4.34,"3,533.71",11516,Hovea,125000,3,2,6071,Perth
46,06/2001,12.99,4.34,270.60,4.34,"3,533.71",12906,Koongamia,77000,2,1,6056,Perth
47,06/2001,12.99,4.34,270.60,4.34,"3,533.71",15584,Jandabup,255000,4,2,6077,Perth
48,06/2001,12.99,4.34,270.60,4.34,"3,533.71",20175,Mahogany Creek,85000,4,2,6072,Perth
49,06/2001,12.99,4.34,270.60,4.34,"3,533.71",26271,Mariginiup,400000,4,3,6078,Perth
50,06/2001,12.99,4.34,270.60,4.34,"3,533.71",28042,Mardella,525000,3,1,6125,Perth
