,Date,Iron_Price,ID,SUBURB,PRICE,BEDROOMS,BATHROOMS,POSTCODE,CITY
0,2007-01,36.63,232,Menora,875000,2,1,6050,Perth
1,2007-01,36.63,3451,Menora,720000,3,1,6050,Perth
2,2007-01,36.63,5552,Peppermint Grove,2100000,5,3,6011,Perth
3,2007-01,36.63,8875,Walliston,627000,4,3,6076,Perth
4,2007-01,36.63,8992,Karawara,860000,4,2,6152,Perth
5,2007-01,36.63,10810,Mundijong,380000,2,1,6123,Perth
6,2007-01,36.63,14501,Sawyers Valley,850000,3,1,6074,Perth
7,2007-01,36.63,15494,Koongamia,337500,3,1,6056,Perth
8,2007-01,36.63,23859,Viveash,585000,4,2,6056,Perth
9,2007-02,36.63,3392,Karawara,460000,4,1,6152,Perth
10,2007-02,36.63,3741,Hazelmere,487500,3,1,6055,Perth
11,2007-02,36.63,8050,Peppermint Grove,1300000,3,2,6011,Perth
12,2007-02,36.63,9432,Hazelmere,340000,4,1,6055,Perth
13,2007-02,36.63,12721,Viveash,750000,4,2,6056,Perth
14,2007-02,36.63,13231,Karawara,575000,5,3,6152,Perth
15,2007-02,36.63,14462,Mardella,270000,4,2,6125,Perth
16,2007-02,36.63,19833,North Lake,775000,4,2,6163,Perth
17,2007-02,36.63,20073,Mariginiup,1000000,3,2,6078,Perth
18,2007-03,36.63,3256,Koongamia,320000,3,1,6056,Perth
19,2007-03,36.63,6199,Mariginiup,1700000,4,2,6078,Perth
20,2007-03,36.63,8924,Gnangara,1200000,4,2,6077,Perth
21,2007-03,36.63,12155,Karawara,735000,4,2,6152,Perth
22,2007-03,36.63,13196,Mariginiup,1600000,4,2,6078,Perth
23,2007-03,36.63,13769,Orange Grove,949000,3,2,6109,Perth
24,2007-03,36.63,14202,Sawyers Valley,585000,5,2,6074,Perth
25,2007-03,36.63,14226,Mahogany Creek,810000,4,2,6072,Perth
26,2007-03,36.63,15760,Ashfield,430000,4,2,6054,Perth
27,2007-03,36.63,16854,Hopeland,1230000,3,1,6125,Perth
28,2007-03,36.63,18320,Wungong,989000,4,2,6112,Perth
29,2007-03,36.63,20637,Boya,520000,2,1,6056,Perth
30,2007-03,36.63,21968,Ashfield,430000,3,1,6054,Perth
31,2007-04,36.63,641,Peppermint Grove,2400000,4,5,6011,Perth
32,2007-04,36.63,1544,Viveash,440000,3,1,6056,Perth
33,2007-04,36.63,7380,Ashfield,510000,4,2,6054,Perth
34,2007-04,36.63,13105,Bickley,445000,3,1,6076,Perth
35,2007-04,36.63,14397,Ashfield,426000,3,1,6054,Perth
36,2007-04,36.63,15586,Ashfield,440000,4,2,6054,Perth
37,2007-04,36.63,19153,Hazelmere,855000,4,1,6055,Perth
38,2007-04,36.63,22236,Carmel,650000,2,2,6076,Perth
39,2007-04,36.63,24065,Menora,1100000,3,3,6050,Perth
40,2007-05,36.63,1149,Millendon,895000,4,2,6056,Perth
41,2007-05,36.63,1856,Anketell,1250000,4,2,6167,Perth
42,2007-05,36.63,4315,Oldbury,1200000,6,2,6121,Perth
43,2007-05,36.63,10325,Ashfield,349000,2,1,6054,Perth
